GENOA	GENOA	NNP	REPORT	LOCATION	O
,	,	,	REPORT	NONE	O
February	February	NNP	REPORT	NONE	O
19th	19th	JJ	REPORT	NONE	O
.	.	.	REPORT	NONE	O

Your	you	PRP$	REPORT	OTHER	O
most	most	RBS	REPORT	OTHER	O
interesting	interesting	JJ	REPORT	OTHER	O
letter	letter	NN	REPORT	OTHER	O
,	,	,	REPORT	OTHER	O
Sir	Sir	NNP	REPORT	OTHER	O
Philosopher	Philosopher	NNP	REPORT	OTHER	O
,	,	,	REPORT	OTHER	O
reached	reach	VBD	REPORT	OTHER	B-EVENT_MENTION
me	I	PRP	REPORT	OTHER	O
at	at	IN	REPORT	OTHER	O
Gibraltar	Gibraltar	NNP	REPORT	OTHER	O
,	,	,	REPORT	OTHER	O
and	and	CC	REPORT	NARRATIVE	O
served	serve	VBD	REPORT	NARRATIVE	B-EVENT_MENTION
to	to	TO	REPORT	ARGUMENTATIVE	O
give	give	VB	REPORT	ARGUMENTATIVE	B-EVENT_MENTION
me	I	PRP	REPORT	ARGUMENTATIVE	O
a	a	DT	REPORT	ARGUMENTATIVE	O
homelike	homelike	JJ	REPORT	ARGUMENTATIVE	O
feeling	feeling	NN	REPORT	ARGUMENTATIVE	B-EVENT_MENTION
in	in	IN	REPORT	ARGUMENTATIVE	O
that	that	DT	REPORT	ARGUMENTATIVE	O
alien	alien	JJ	REPORT	ARGUMENTATIVE	O
land	land	NN	REPORT	ARGUMENTATIVE	O
of	of	IN	REPORT	ARGUMENTATIVE	O
Spain	Spain	NNP	REPORT	ARGUMENTATIVE	O
.	.	.	REPORT	ARGUMENTATIVE	O

Any	any	DT	REPORT	OTHER	O
one	one	CD	REPORT	OTHER	O
who	who	WP	REPORT	OTHER	O
can	can	MD	REPORT	OTHER	O
write	write	VB	REPORT	OTHER	B-EVENT_MENTION
letters	letter	NNS	REPORT	OTHER	O
as	as	IN	REPORT	OTHER	O
interesting	interesting	JJ	REPORT	OTHER	O
as	as	IN	REPORT	OTHER	O
yours	yours	PRP$	REPORT	OTHER	O
